"Sensor","first10_mean","first10_sd","first10_median","first10_mad","first10_min","first10_max","first10_count","first10_rollmean3","last5_mean","last5_sd","last5_median","last5_mad","last5_min","last5_max","last5_count","last5_rollmean3","full_mean","full_sd","full_median","full_mad","full_min","full_max","full_count","full_rollmean3","within_diff_mean","within_diff_sd","within_diff_median","within_diff_mad","within_diff_min","within_diff_max","within_diff_count","within_diff_rollmean3","full_pct_nonmissing"
"1997.Sensor20",8.506,NA,8.506,0,8.506,8.506,1,NA,8.938,NA,8.938,0,8.938,8.938,1,NA,7.87147157190635,NA,7.87147157190635,0,7.87147157190635,7.87147157190635,1,NA,-0.634528428093645,NA,-0.634528428093645,0,-0.634528428093645,-0.634528428093645,1,NA,7.14285714285714
"1997.Sensor21",5.699,NA,5.699,0,5.699,5.699,1,NA,3.882,NA,3.882,0,3.882,3.882,1,NA,4.34346278317152,NA,4.34346278317152,0,4.34346278317152,4.34346278317152,1,NA,-1.35553721682848,NA,-1.35553721682848,0,-1.35553721682848,-1.35553721682848,1,NA,7.14285714285714
"1997.Sensor22",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,5.03336734693878,NA,5.03336734693878,0,5.03336734693878,5.03336734693878,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1997.Sensor23",10.7628571428571,NA,10.7628571428571,0,10.7628571428571,10.7628571428571,1,NA,10.414,NA,10.414,0,10.414,10.414,1,NA,7.9319387755102,NA,7.9319387755102,0,7.9319387755102,7.9319387755102,1,NA,-2.83091836734694,NA,-2.83091836734694,0,-2.83091836734694,-2.83091836734694,1,NA,7.14285714285714
"1997.Sensor24",5.201,NA,5.201,0,5.201,5.201,1,NA,4.788,NA,4.788,0,4.788,4.788,1,NA,4.1695,NA,4.1695,0,4.1695,4.1695,1,NA,-1.0315,NA,-1.0315,0,-1.0315,-1.0315,1,NA,7.14285714285714
"1997.Sensor25",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"1997.Sensor26",4.156,NA,4.156,0,4.156,4.156,1,NA,3.3,NA,3.3,0,3.3,3.3,1,NA,3.54610738255034,NA,3.54610738255034,0,3.54610738255034,3.54610738255034,1,NA,-0.609892617449664,NA,-0.609892617449664,0,-0.609892617449664,-0.609892617449664,1,NA,7.14285714285714
"1997.Sensor27",4.329,NA,4.329,0,4.329,4.329,1,NA,4.028,NA,4.028,0,4.028,4.028,1,NA,4.20758957654723,NA,4.20758957654723,0,4.20758957654723,4.20758957654723,1,NA,-0.121410423452768,NA,-0.121410423452768,0,-0.121410423452768,-0.121410423452768,1,NA,7.14285714285714
"1997.Sensor28",3.918,NA,3.918,0,3.918,3.918,1,NA,4.564,NA,4.564,0,4.564,4.564,1,NA,4.15233449477352,NA,4.15233449477352,0,4.15233449477352,4.15233449477352,1,NA,0.234334494773519,NA,0.234334494773519,0,0.234334494773519,0.234334494773519,1,NA,7.14285714285714
"1997.Sensor29",5.406,NA,5.406,0,5.406,5.406,1,NA,5.772,NA,5.772,0,5.772,5.772,1,NA,5.01715210355987,NA,5.01715210355987,0,5.01715210355987,5.01715210355987,1,NA,-0.388847896440129,NA,-0.388847896440129,0,-0.388847896440129,-0.388847896440129,1,NA,7.14285714285714
"1997.Sensor30",5.898,NA,5.898,0,5.898,5.898,1,NA,6.504,NA,6.504,0,6.504,6.504,1,NA,5.65565217391304,NA,5.65565217391304,0,5.65565217391304,5.65565217391304,1,NA,-0.242347826086957,NA,-0.242347826086957,0,-0.242347826086957,-0.242347826086957,1,NA,7.14285714285714
"1997.Sensor31",6.61,NA,6.61,0,6.61,6.61,1,NA,3.46,NA,3.46,0,3.46,3.46,1,NA,4.32101639344262,NA,4.32101639344262,0,4.32101639344262,4.32101639344262,1,NA,-2.28898360655738,NA,-2.28898360655738,0,-2.28898360655738,-2.28898360655738,1,NA,7.14285714285714
"1997.Sensor32",7.38,NA,7.38,0,7.38,7.38,1,NA,3.682,NA,3.682,0,3.682,3.682,1,NA,4.81136842105263,NA,4.81136842105263,0,4.81136842105263,4.81136842105263,1,NA,-2.56863157894737,NA,-2.56863157894737,0,-2.56863157894737,-2.56863157894737,1,NA,7.14285714285714
"1998.Sensor01",NA,NA,NA,NA,NA,NA,0,NA,3.256,NA,3.256,0,3.256,3.256,1,NA,3.48514150943396,NA,3.48514150943396,0,3.48514150943396,3.48514150943396,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7.14285714285714
"1998.Sensor02",3.074,NA,3.074,0,3.074,3.074,1,NA,2.59,NA,2.59,0,2.59,2.59,1,NA,2.73305147058824,NA,2.73305147058824,0,2.73305147058824,2.73305147058824,1,NA,-0.340948529411765,NA,-0.340948529411765,0,-0.340948529411765,-0.340948529411765,1,NA,7.14285714285714
"1998.Sensor03",3.812,NA,3.812,0,3.812,3.812,1,NA,3.532,NA,3.532,0,3.532,3.532,1,NA,3.98569343065693,NA,3.98569343065693,0,3.98569343065693,3.98569343065693,1,NA,0.173693430656934,NA,0.173693430656934,0,0.173693430656934,0.173693430656934,1,NA,7.14285714285714
"1998.Sensor04",5.625,NA,5.625,0,5.625,5.625,1,NA,NA,NA,NA,NA,NA,NA,0,NA,3.11411255411255,NA,3.11411255411255,0,3.11411255411255,3.11411255411255,1,NA,-2.51088744588745,NA,-2.51088744588745,0,-2.51088744588745,-2.51088744588745,1,NA,7.14285714285714
"1998.Sensor05",5.763,NA,5.763,0,5.763,5.763,1,NA,4.232,NA,4.232,0,4.232,4.232,1,NA,5.20225092250923,NA,5.20225092250923,0,5.20225092250923,5.20225092250923,1,NA,-0.560749077490774,NA,-0.560749077490774,0,-0.560749077490774,-0.560749077490774,1,NA,7.14285714285714
"1998.Sensor06",5.563,NA,5.563,0,5.563,5.563,1,NA,3.812,NA,3.812,0,3.812,3.812,1,NA,4.99123636363636,NA,4.99123636363636,0,4.99123636363636,4.99123636363636,1,NA,-0.571763636363635,NA,-0.571763636363635,0,-0.571763636363635,-0.571763636363635,1,NA,7.14285714285714
"1998.Sensor07",2.57,NA,2.57,0,2.57,2.57,1,NA,2.592,NA,2.592,0,2.592,2.592,1,NA,2.73814545454545,NA,2.73814545454545,0,2.73814545454545,2.73814545454545,1,NA,0.168145454545455,NA,0.168145454545455,0,0.168145454545455,0.168145454545455,1,NA,7.14285714285714
"1998.Sensor08",3.763,NA,3.763,0,3.763,3.763,1,NA,4.402,NA,4.402,0,4.402,4.402,1,NA,3.96594890510949,NA,3.96594890510949,0,3.96594890510949,3.96594890510949,1,NA,0.202948905109489,NA,0.202948905109489,0,0.202948905109489,0.202948905109489,1,NA,7.14285714285714
"1998.Sensor09",4.306,NA,4.306,0,4.306,4.306,1,NA,3.49,NA,3.49,0,3.49,3.49,1,NA,3.5384328358209,NA,3.5384328358209,0,3.5384328358209,3.5384328358209,1,NA,-0.767567164179105,NA,-0.767567164179105,0,-0.767567164179105,-0.767567164179105,1,NA,7.14285714285714
"1998.Sensor10",5.473,NA,5.473,0,5.473,5.473,1,NA,3.33,NA,3.33,0,3.33,3.33,1,NA,3.58392727272727,NA,3.58392727272727,0,3.58392727272727,3.58392727272727,1,NA,-1.88907272727273,NA,-1.88907272727273,0,-1.88907272727273,-1.88907272727273,1,NA,7.14285714285714
"1998.Sensor11",6.127,NA,6.127,0,6.127,6.127,1,NA,4.766,NA,4.766,0,4.766,4.766,1,NA,4.87323636363636,NA,4.87323636363636,0,4.87323636363636,4.87323636363636,1,NA,-1.25376363636364,NA,-1.25376363636364,0,-1.25376363636364,-1.25376363636364,1,NA,7.14285714285714
"1998.Sensor12",7.358,NA,7.358,0,7.358,7.358,1,NA,5.594,NA,5.594,0,5.594,5.594,1,NA,5.70544061302682,NA,5.70544061302682,0,5.70544061302682,5.70544061302682,1,NA,-1.65255938697318,NA,-1.65255938697318,0,-1.65255938697318,-1.65255938697318,1,NA,7.14285714285714
"1998.Sensor13",4.341,NA,4.341,0,4.341,4.341,1,NA,4.284,NA,4.284,0,4.284,4.284,1,NA,4.22948339483395,NA,4.22948339483395,0,4.22948339483395,4.22948339483395,1,NA,-0.111516605166051,NA,-0.111516605166051,0,-0.111516605166051,-0.111516605166051,1,NA,7.14285714285714
"1998.Sensor14",5.135,NA,5.135,0,5.135,5.135,1,NA,5.948,NA,5.948,0,5.948,5.948,1,NA,4.74516363636364,NA,4.74516363636364,0,4.74516363636364,4.74516363636364,1,NA,-0.389836363636364,NA,-0.389836363636364,0,-0.389836363636364,-0.389836363636364,1,NA,7.14285714285714
"1998.Sensor15",5.21222222222222,NA,5.21222222222222,0,5.21222222222222,5.21222222222222,1,NA,7.59,NA,7.59,0,7.59,7.59,1,NA,5.81580769230769,NA,5.81580769230769,0,5.81580769230769,5.81580769230769,1,NA,0.60358547008547,NA,0.60358547008547,0,0.60358547008547,0.60358547008547,1,NA,7.14285714285714
"1998.Sensor16",5.376,NA,5.376,0,5.376,5.376,1,NA,6.98,NA,6.98,0,6.98,6.98,1,NA,5.90782287822878,NA,5.90782287822878,0,5.90782287822878,5.90782287822878,1,NA,0.531822878228782,NA,0.531822878228782,0,0.531822878228782,0.531822878228782,1,NA,7.14285714285714
